x,y
1,1
2,4
3,5
4,5
5,5
6,5
7,5
8,6
9,6
10,7
11,7
12,7
13,8
14,12
15,26
16,41
17,53
18,82
19,93
20,118
21,164
22,203
23,251
24,316
25,367
26,405
27,475
28,585
29,717
30,848
31,993
32,1094
33,1215
34,1378
35,1510
36,1688
37,1890
38,2143
39,2439
40,2785
41,3181
42,3441
43,3844
44,4219
45,4661
46,5014
47,5399
48,5847
49,6297
50,6875
51,7497
52,8261
53,8772
54,9501
55,10544
56,11633
57,12872
58,13842
59,14677
60,15529
61,16752
62,17799
63,19224
64,20739
65,22088
66,23471
67,24905
68,26025
69,27634
70,29616
71,31522
72,33460
73,35022
74,36327
75,38324
76,40186
77,42595
78,45032
79,47144
80,49219
81,51633
82,54346
83,56594
84,59567
85,62527
86,65856
87,68620
88,71105
89,74560
90,78023
91,81400
92,84627
93,87512
94,90664
95,93435
96,97326
97,101238
98,105680
99,110026
100,113619
101,117103
102,120102
103,124301
104,129184
105,133974
106,139196
107,142690
108,146837
109,150264
110,154863
111,159793
112,165455
113,170485
114,175202
115,180545
116,185122
117,191410
118,196847
119,202951
120,208392
121,212802
122,216852
123,220657
124,226089
125,231770
126,238511
127,245251
128,252165
129,256848
130,261750
131,268008
132,275003
133,282283
134,289174
135,295268
136,299750
137,304435
138,311486
139,317635
140,324041
141,331298
142,338913
143,344224
144,349396
145,356255
146,362274
147,370712
148,378285
149,385036
150,390516
151,395489
152,402697
153,408449
154,416179
155,424637
156,434193
157,439046
158,443813
159,449961
160,456100
161,462690
162,469407
163,475902
